gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
ANXA1,-0.159208463,Arg,293T,1.66E-06,2.204364118,-2.363572581,,,,,
ANXA2,-1.393437325,Arg,293T,4.18E-21,2.009489257,-3.402926582,,,,,
ANXA4,-0.44172154,Arg,293T,0.008259306,1.17365946,-1.615381,,,,,
ANXA6,-1.14499868,Arg,293T,0.185223649,-1.122166019,-0.022832661,,,,,
ANXA7,-1.722351125,Arg,293T,0.64301368,-0.170872356,-1.551478769,,,,,
AP1B1,-1.270756868,Arg,293T,NA,NA,NA,,,,,
AP1G1,-1.633894755,Arg,293T,0.899789389,0.076024017,-1.709918772,,,,,
AP1M1,-1.254983308,Arg,293T,NA,NA,NA,,,,,
AP1S2,-1.202754833,Arg,293T,NA,NA,NA,,,,,
AP2A1,-1.721008042,Arg,293T,NA,NA,NA,,,,,
AP2A2,-2.181617845,Arg,293T,NA,NA,NA,,,,,
AP2B1,-1.23804328,Arg,293T,0.708739721,0.202067681,-1.440110961,,,,,
AP2M1,-2.068759538,Arg,293T,NA,NA,NA,,,,,
AP2S1,-2.222324608,Arg,293T,0.965229658,0.021313408,-2.243638016,,,,,
AP3B1,-1.131647463,Arg,293T,0.252280181,-0.389392232,-0.742255231,,,,,
AP3D1,-1.384639513,Arg,293T,0.015357035,-1.457834666,0.073195154,,,,,
AP3M1,-1.093531545,Arg,293T,0.63399542,0.367293955,-1.4608255,,,,,
AP3S1,-0.777426198,Arg,293T,NA,NA,NA,,,,,
NUDT2,-1.426304243,Arg,293T,3.11E-06,-1.684705182,0.258400939,,,,,
APBB1,-3.593175313,Arg,293T,NA,NA,NA,,,,,
ANAPC1,-2.112297223,Arg,293T,0.431415362,0.266575578,-2.378872801,,,,,
ANAPC16,NA,Arg,293T,2.89E-04,0.807892818,NA,,,,,
ANAPC4,-3.226601429,Arg,293T,1.80E-06,-1.683666383,-1.542935046,,,,,
ANAPC5,-3.617625356,Arg,293T,0.611822555,0.073040807,-3.690666163,,,,,
ANAPC7,-3.65459135,Arg,293T,0.271418854,-0.778168264,-2.876423086,,,,,
APEX1,-0.322347685,Arg,293T,0.018432363,0.249711068,-0.572058753,,,,,
API5,-0.44404818,Arg,293T,0.066834469,-0.655552589,0.211504409,,,,,
APMAP,-1.44582944,Arg,293T,NA,NA,NA,,,,,
APRT,-0.58837644,Arg,293T,2.53E-26,-2.14505991,1.55668347,,,,,
APTX,-0.90073323,Arg,293T,0.014313921,0.54231159,-1.44304482,,,,,
AQR,-1.972402357,Arg,293T,0.003869252,-0.92426057,-1.048141787,,,,,
ARL2BP,-0.106240428,Arg,293T,NA,NA,NA,,,,,
ARL6IP4,-1.653320862,Arg,293T,2.79E-31,-3.771793457,2.118472594,,,,,
ARAF,-0.98425093,Arg,293T,NA,NA,NA,,,,,
ARPC1A,-0.81006363,Arg,293T,0.494645461,-0.143253743,-0.666809887,,,,,
ARPC1B,-1.07659106,Arg,293T,0.005001219,-2.107246988,1.030655928,,,,,
ARF1,-1.679310372,Arg,293T,0.102046381,-0.669969639,-1.009340733,,,,,
ARF4,-1.247869263,Arg,293T,1.82E-04,0.703713441,-1.951582703,,,,,
ARF5,-0.71685036,Arg,293T,0.144767328,-1.096085002,0.379234642,,,,,
ARF6,-0.888243447,Arg,293T,NA,NA,NA,,,,,
ARFGAP1,-3.69030776,Arg,293T,NA,NA,NA,,,,,
ARFGAP2,-4.070265505,Arg,293T,NA,NA,NA,,,,,
